2018,314A,Pensions i prestacions econòmiques
2018,322A,Ocupació i inserció laboral específiques
2018,322B,Gestió de les relacions laborals
2018,322D,Foment i gestió de l'ocupació de les Illes Balears
2018,322E,"Impuls del Turisme Sostenible (ITS), projectes d'ocupació"
2018,323A,Protecció i foment de la  integració i de la participació social de la joventut
2018,323C,"Promoció, protecció i serveis per a la dona"
2018,324A,Salut i prevenció de riscs laborals
2018,411A,Direcció i serveis generals de Salut
2018,411D,"Planificació, avaluació i cartera de serveis"
2018,411E,Finançament de la sanitat pública
2018,413A,"Acreditació, docència i recerca en salut"
2018,413B,Programes de salut pública
2018,413C,Sanitat ambiental i alimentària
2018,413D,Coordinació de centres insulars
2018,413E,Pla autonòmic de drogues
2018,413F,"Planificació, control i gestió del medicament i dels serveis farmacèutics"
2018,421A,Direcció i serveis generals d'Educació i Universitat
2018,421B,Ordenació general del sistema educatiu
2018,421C,Planificació educativa i règim de centres escolars
2018,421D,Formació del professorat
2018,421E,Projectes lingüístics
2018,421F,Política i actuacions en matèria universitària
2018,421G,Formació professional i aprenentatge permanent
2018,421H,Inspecció educativa
2018,421I,Administració i serveis de suport a l'ensenyament
2018,421K,Innovació i comunitat educativa
2018,422A,Educació pública
2018,422B,Educació concertada
2018,423B,Altres serveis a l'ensenyament
2018,431A,Gestió i foment de l'habitatge social
2018,431B,"Arquitectura, habitatge i protecció del patrimoni"
2018,441A,Protecció i defensa del consumidor
2018,451A,"Direcció i serveis generals de, Cultura, Transparància i Esports"
2018,455A,Promoció i serveis de cultura
2018,455B,Planificació i normalització de la llengua catalana
2018,455C,"Impuls del Turisme Sostenible (ITS), projectes de patrimoni cultural"
2018,461A,Promoció i foment de l'esport
2018,511B,"Direció i serveis generals de territori, energía i mobilitat"
2018,521A,Infraestructures bàsiques
2018,521B,Ordenació i inspecció del transport terrestre
2018,521C,Transport ferroviari
2018,521D,Transport per carretera
2018,522A,Ports i transport marítim
2018,522B,Aeroports i transport aeri
2018,531A,Ordenació del territori i urbanisme
2018,541A,Recerca i desenvolupament tecnològic
2018,541B,"Impuls del Turisme Sostenible (ITS), projectes de reçerca"
2018,542A,Innovació
2018,551A,"Ordenació, regulació i desenvolupament de les telecomunicacions"
2018,551B,Gestió de sistemes i tecnologies de la informació
2018,551C,Mitjans de comunicació social
2018,561A,"Protecció, control i defensa del domini públic hidràulic. Directiva marc de l'aigüa"
2018,562A,Abastament d'aigües
2018,562B,Sanejament i depuració d'aigües
2018,571A,Gestió de residus
2018,571B,Educació ambiental
2018,571C,Gestió d'espais naturals
