2012,13601,Direcció General d'Innovació i Comunitat Educativa
2012,13701,Direcció General de Personal Docent
2012,13801,Direcció General de Política Universitària i d'Ensenyament Superior
2012,13901,Direcció General de Formació Professional i Formació Professorat
2012,14101,Secretaria General Conselleria d'Hisenda i Administrac.Públiques
2012,14201,Direcció General Funció Pública i Administracions Públiques
2012,14301,Direcció General d'Emergències i Interior
2012,14401,Direcció General de Pressuposts i Finançament
2012,14501,Intervenció General
2012,14601,"Direcció General del Tresor, Política Financera i Patrimoni"
2012,15101,"Secretaria General C.Medi Ambient, Agricultura i Pesca"
2012,15201,Direcció General de Recursos Hídrics
2012,15301,Direcció General d'Espais Naturals i Biodiversitat
2012,15501,Direcció General d'Agricultura i Ramaderia
2012,15601,"Direcció General d'Educació Ambiental, Qualitat Amb. i Residus"
2012,15901,Direcció General de Pesca i Medi Marí
2012,17101,Secretaria General C.Serveis Socials i Cooperació
2012,17201,Direcció General de Menors i Famílies
2012,17301,Direcció General de Dependència
2012,17302,Centre base discapacitats Mallorca
2012,17303,Centre base discapacitats Menorca
2012,17304,Centre base discapacitats Eivissa i Formentera
2012,17401,Direcció General de Planificació i Serveis Socials
2012,17501,Direcció General de Cooperació
2012,18101,Secretaria General Conselleria de Salut
2012,18201,Direcció General de Salut Pública i Participació
2012,18204,Centre insular de Menorca
2012,18205,Centre insular d'Eivissa i Formentera
2012,18206,Laboratori de Salut Pública
2012,18301,Direcció General de Consum
2012,18401,"Direcció General de Planificació, Avaluació i Farmàcia"
2012,18501,"Direcció General d'Acreditació, Docència i Recerca en Salut"
2012,19101,"Secretaria General C.Treball, Comerç i Indústria"
2012,19201,Direcció General d'Ocupació i Economia
2012,19301,Direcció General Comerç i Empresa
2012,19401,Direcció General de Política Industrial
2012,19601,"Direcció General de Treball, Economia Social i Salut Laboral"
2012,25101,"Secretaria General C.Territori, Energia i Mobilitat"
2012,25201,Direcció General de Transports
2012,25301,Direcció General d'Ordenació del Territori
2012,25401,Direcció General de Ports i Aeroports
2012,25501,Direcció General d'Arquitectura i Habitatge
2012,25601,Direcció General d'Energia i Canvi Climàtic
2012,26101,"Secretaria General C. Transparència, Cultura i Esports"
2012,26201,Direcció General de Cultura
2012,26202,Arxiu General de l'Administració
2012,26203,Biblioteca pública de Palma
2012,26204,Biblioteca pública de Maó
2012,26208,Arxiu del Regne de Mallorca
2012,26209,Museu de Mallorca
2012,26210,Museu de Menorca
2012,26211,Museu Arqueològic d'Eivissa i Formentera
2012,26301,Direcció General de Participació i Transparència
2012,26401,Direcció General de Política Lingüística
2012,26501,Direcció General d'Esports i Joventut
2012,26502,"Poliesportiu ""Príncipes de España"""
2012,31101,Serveis comuns
2012,32101,Ens territorials
2012,33101,Serveis comuns tecnològics
2012,34101,Deute públic
2012,35101,Fons de contingència
2012,36101,"Serveis comuns, despeses de personal"
2012,73101,Institut Balear de la Dona
2012,73102,Consell de Participació de la Dona
2012,76101,Servei d'Ocupació de les Illes Balears
2012,77101,Institut d'Estadística de les Illes Balears
2012,78101,Escola Balear d'Administració Pública
2012,60,Servei de Salut de les Illes Balears
2012,600,Gerència Serveis Centrals
2012,60001,Serveis Centrals
2012,60002,Serveis Centrals Personal funció pública
2012,60003,Hospital Joan March
2012,60004,Hospital General
2012,60005,Hospital Psiquiàtric
2012,60099,Gerència Serveis Centrals - deute
2012,601,Gerència Hospital Son Espases
2012,60101,Hospital Universitari Son Espases
2012,60199,Hospital Univ. Son Espases-oblig. 409
2012,602,Gerència Àrea de Salut de Menorca
