2016,313F,Protección y defensa de los derechos de los menores
2016,313G,Familia y unidades de convivencia
2016,313I,Planificación y ordenación sociales
2016,313J,Integración social de inmigrantes
2016,313K,Dirección y servicios generales de Servicios Sociales y Cooperación
2016,314A,Pensiones y prestaciones económicas
2016,322A,Empleo e inserción laboral específicos
2016,322B,Gestión de las relaciones laborales
2016,322C,Planificación estratégica del empleo
2016,322D,Fomento y gestión del empleo en las Illes Balears
2016,323A,Protección y fomento de la integración y fomento de la participación social de la juventud
2016,323C,"Promoción, protección y servicios para la mujer"
2016,324A,Salud y prevención de riesgos laborales
2016,411A,Dirección y servicios generales de Salud
2016,411D,"Planificación, evaluación y cartera de servicios"
2016,411E,Financiación de la asistencia sanitaria
2016,413A,"Acreditación, docencia e investigación en salud"
2016,413B,Programas de salud pública
2016,413C,Sanidad ambiental y alimentaria
2016,413D,Coordinación de centros insulares
2016,413E,Plan autonómico de drogas
2016,413F,"Planificación, control y gestión del medicamento y de los servicios farmaceuticos"
2016,421A,Dirección y servicios generales de Educación y Universidad
2016,421B,Ordenación general del sistema educativo
2016,421C,Planificación educativa y régimen de centros escolares
2016,421D,Formación del profesorado
2016,421E,Proyectos lingüísticos
2016,421F,Política y actuaciones en materia universitaria
2016,421G,Formación profesional y aprendizaje permanente
2016,421H,Inspección educativa
2016,421I,Administración y servicios de apoyo a la enseñanza
2016,421K,Innovación y comunidad educativa
2016,422A,Educación pública
2016,422B,Educación concertada
2016,423A,Becas y ayudas al estudio
2016,423B,Otros servicios a la enseñanza
2016,431A,Gestión y fomento de la vivienda social
2016,431B,"Arquitectura, vivienda y protección del patrimonio"
2016,441A,Protección y defensa del consumidor
2016,443A,Administración y planes medioambientales
2016,443J,Gestión de espacios naturales
2016,443K,Seguimiento y vigilancia del cambio climático
2016,443L,Espacios de relevancia ambiental (Xarxa Natura 2000)
2016,443M,Educación ambiental y sociedad
2016,443N,Formación y educación en relación al mar
2016,443P,Calidad de las aguas de baño
2016,443Q,Calidad del aire y contaminación atmosférica
2016,451A,"Dirección y servicios generales de Transparencia, Cultura y Deportes"
2016,455A,Promoción y servicios de cultura
2016,455B,Planificación  y normalización de la lengua catalana
2016,461A,Promoción y fomento del deporte
2016,463C,Proyectos de comunicación de interés social
2016,463D,Elecciones y partidos políticos
2016,463E,"Participación, transparencia, buen gobierno y voluntariado"
2016,511B,"Dirección y servicios generales de Territorio, Energía y Movilidad"
2016,513C,Ordenación e inspección del transporte terrestre
2016,513D,Infraestructuras básicas
2016,521A,Infraestructuras básicas
2016,521B,Ordenación e inspección del transporte terrestre
2016,521C,Transporte ferroviario
2016,522A,Puertos y transporte marítimo
2016,522B,Aeropuertos y transporte aereo
2016,531A,Infraestructuras agrarias de las zonas rurales
2016,533A,Conservación y mejora del medio natural
2016,533B,Planificación forestal
2016,533D,"Gestión de espacios naturales protegidos, parques naturales, áreas recreativas y fincas públicas"
2016,533F,Especies silvestres: conservación i sensibilización
2016,533G,Gestión de la sanidad forestal
2016,541A,Investigación y desarrollo tecnológico
2016,542A,Innovación tecnológica
2016,551A,"Ordenación, regulación y desarrollo de las telecomunicaciones"
2016,551B,Gestión de los sistemas y las tecnologías de la información
2016,561A,Dominio público hidráulico: protección y control. Directiva marco del agua
2016,562A,Abastecimiento de agua
2016,562B,Saneamiento y depuración de aguas
2016,571A,Gestión de residuos
2016,571B,Educación ambiental
2016,571C,Gestión de espacios naturales
2016,571D,Conservación y mejora del medio natural
2016,571E,Planificación forestal
2016,571F,Especies silvestres
2016,571G,Sanidad forestal
2016,572A,"Seguimiento y contol del cambio climático, calidad del aire y contaminación atmosférica"
2016,581A,Infraestructuras de regadío
2016,591A,Estadística
2016,591B,Cartografía
2016,611A,Dirección y servicios generales de Hacienda y Administraciones Públicas
2016,612A,Planificación y ordenación de la política económica
2016,612B,Planificación y política presupuestaria
2016,612C,Gestión contable y control interno
2016,612E,Gestión de tesoreria y política financiera
2016,612G,Organización y gestión del Patrimonio de la Comunidad Autónoma
2016,612H,Gestión de los fondos procedentes de la Unión Europea
2016,633A,Imprevistos y funciones no clasificadas
